Date;ID;Comment Count;Dislikes;Favourite Count;Likes;Published on;Tags;Thumbnail;Title;Views
2018-10-20;3uLp0C6G__w;204;45;0;1338;2017-02-10T17:11:15.000Z;TEDxTalks,English,Germany,Science (hard),Animals,Birds,Brain,Cognitive science,Communication,Exploration,Intelligence,Relationships,Science;https://i.ytimg.com/vi/3uLp0C6G__w/mqdefault.jpg;The fascinating intelligence of birds | Auguste von Bayern | TEDxTUM;86599
2018-10-20;ab_yh2HoJ7o;4;14;0;49;2017-02-10T17:11:20.000Z;TEDxTalks,English,Germany,Technology,Aging,Biology,Biotech,Computers,Intelligence,Robots,Society;https://i.ytimg.com/vi/ab_yh2HoJ7o/mqdefault.jpg;Building our future with synthetic biology | Jérôme Lutz | TEDxTUM;3076
2018-10-20;2B91UE0gHps;0;0;0;3;2017-02-14T15:28:51.000Z;TEDxTalks,English,Germany,Entertainment,Band;https://i.ytimg.com/vi/2B91UE0gHps/mqdefault.jpg;Acoustic Performance | Peak to Peak | TEDxTUM;509
2018-10-20;HCjBM23nQ0s;2;2;0;73;2016-01-08T21:08:32.000Z;TEDxTalks,English,Germany,Technology,AI,Cognitive science,Computers,Creation,Engineering,Future,Innovation,Intelligence,Product design,Productivity,Relationships,Research,Robots,Science;https://i.ytimg.com/vi/HCjBM23nQ0s/mqdefault.jpg;Robots that learn from us | Dongheui Lee | TEDxTUM;5410
2018-10-20;m4w-FV6eERI;0;0;0;30;2017-02-17T17:48:43.000Z;TEDxTalks,English,Germany,Science (hard),Brain,Cancer,Future,Health,Medicine,Mental health,Neurology,Neuroscience,Public health,Science,Surgery;https://i.ytimg.com/vi/m4w-FV6eERI/mqdefault.jpg;The potential of brain stimulation | Sandro Krieg | TEDxTUM;2524
2018-10-20;0NDL0AgRK0c;1;0;0;18;2018-02-21T21:53:50.000Z;TEDxTalks,English,Technology,Computers,Future,Intelligence,Medicine,Visualization;https://i.ytimg.com/vi/0NDL0AgRK0c/mqdefault.jpg;Deep Learning Beyond Cats and Dogs | Nils Thuerey | TEDxTUM;816
2018-10-20;6MxbegZtAII;3;0;0;18;2017-02-10T17:11:18.000Z;TEDxTalks,English,Germany,Art,Adventure,Arts education,Career,Communication,Creation,Creativity,Culture,Failure,Self,Self improvement,Work;https://i.ytimg.com/vi/6MxbegZtAII/mqdefault.jpg;Create a universe out of a single line | Simon James | TEDxTUM;871
2018-10-20;k_BVvupSChc;41;17;0;173;2018-02-21T21:54:28.000Z;TEDxTalks,English,Science (hard),AIDS,Future,Genetics,Health,Medicine,Research;https://i.ytimg.com/vi/k_BVvupSChc/mqdefault.jpg;HIV - Curing the Incurable | Daniel Aaron Donahue | TEDxTUM;15109
2018-10-20;g17OHKBm50I;0;0;0;2;2018-02-21T21:48:18.000Z;TEDxTalks,English,Technology,Computers,Design,Future,Math;https://i.ytimg.com/vi/g17OHKBm50I/mqdefault.jpg;Less queuing, more safety - the power of crowd simulations | Angelika Kneidl | TEDxTUM;325
2018-10-20;mK6IdD4GXPo;4;2;0;360;2015-12-29T19:05:20.000Z;TEDxTalks,English,Germany,Global Issues,Activism,Big problems,Entrepreneurship,Environment,Food,Global issues,Green,Nature,Obesity,Social Change,Social Entrepreneurship,Sustainability;https://i.ytimg.com/vi/mK6IdD4GXPo/mqdefault.jpg;The time is now for a sustainable food revolution | Marc Buckley | TEDxTUM;65775
2018-10-20;3DyrDKYhSi8;0;3;0;117;2015-12-14T18:43:42.000Z;TEDxTalks,English,Germany,Business,Communication,Decision making,Leadership,Work;https://i.ytimg.com/vi/3DyrDKYhSi8/mqdefault.jpg;The natural way of managing leaders | Erik Ringertz | TEDxTUM;10359
2018-10-20;JR_DmkV4Jlw;0;0;0;49;2014-07-25T22:15:03.000Z;English,Germany,Computer Science,ted talk,Lifestyle,tedx talk,tedx,tedx talks,TEDxTalks,Climate Change,ted talks,ted,ted x,Design,Sustainability;https://i.ytimg.com/vi/JR_DmkV4Jlw/mqdefault.jpg;Design beyond the shape | Benoit Jacob | TEDxTUM;5204
2018-10-20;CFHvNNcEIDo;0;0;0;9;2017-02-14T15:28:52.000Z;TEDxTalks,English,Germany,Entertainment,Dance (performance);https://i.ytimg.com/vi/CFHvNNcEIDo/mqdefault.jpg;Contemporary & Jazz Dance | Alina Groder & Sungsit Saiynart | TEDxTUM;760
2018-10-20;O54JCIDqWwM;3;0;0;30;2017-02-10T17:11:19.000Z;TEDxTalks,English,Germany,Life,Achievement,Activism,Adventure,Benefit,Cause,Climate Change,Community,Dreams,Emotions,Exploration,Global issues,Human Rights,Ideas,Impact,Initiative,Local issues,Motivation,Movement,Passion,Peace,Positive Thinking,Self improvement,Volunteering;https://i.ytimg.com/vi/O54JCIDqWwM/mqdefault.jpg;Beyond the first step: the unexpected, unanticipatible, enthralling! | Terry Swartzberg | TEDxTUM;1485
2018-10-20;LQEbC8QfbyU;3;15;0;88;2014-07-25T22:15:03.000Z;TEDxTalks,ted talk,Computer Science,Germany,ted talks,tedx talk,Physics,ted x,tedx,English,tedx talks,Technology,Culture,ted,Biology;https://i.ytimg.com/vi/LQEbC8QfbyU/mqdefault.jpg;Robots with muscles: inspired by nature | Rafael Hostettler | TEDxTUM;12455
2018-10-20;NG2CsLrCCY8;1;6;0;27;2017-02-10T17:11:17.000Z;TEDxTalks,English,Germany,Health,Big problems,Design,Disease,Empathy,Government,Life,Public health,Public Policy,Research,Society,Vaccines;https://i.ytimg.com/vi/NG2CsLrCCY8/mqdefault.jpg;A health system that works for everybody | Sabine Kobayter | TEDxTUM;4983
2018-10-20;ke4lI_1xCrU;2;4;0;17;2014-07-25T22:15:03.000Z;English,Germany,ted talk,Global Issues,Social Justice,Climate Change,tedx talk,ted talks,Urban Planning,tedx talks,TEDxTalks,Public Policy,Economics,Culture,International Affairs,ted,Politics,ted x,tedx,Development/Philanthropy,Sustainability;https://i.ytimg.com/vi/ke4lI_1xCrU/mqdefault.jpg;Mega events and the developing world | James Mister | TEDxTUM;3743
2018-10-20;U5DoJ_jCt7E;0;1;0;18;2018-02-21T21:46:38.000Z;TEDxTalks,English,Technology,Elderly,Future,Intelligence,Interface design,Medicine,Robots;https://i.ytimg.com/vi/U5DoJ_jCt7E/mqdefault.jpg;The Robotic Future of Elderly Care | Thomas Bock | TEDxTUM;901
2018-10-20;OE3mguWXRRU;0;1;0;4;2018-08-29T12:11:48.000Z;TEDxTUM,slow motion,team;https://i.ytimg.com/vi/OE3mguWXRRU/mqdefault.jpg;Meet the TEDxTUM Team!;52
2018-10-20;FjBsr9w3-Gk;1;1;0;25;2016-10-05T20:08:36.000Z;ted talks,tedx,ideas,inspiration,tu munich,science,technology,design,entertainment,art;https://i.ytimg.com/vi/FjBsr9w3-Gk/mqdefault.jpg;TEDxTUM 2016 - Entelechy;3039
2018-10-20;-NhZ4ioHb9E;0;0;0;14;2018-02-21T21:53:10.000Z;TEDxTalks,English,Global Issues,Activism,Animals,Future,Medicine,Nature;https://i.ytimg.com/vi/-NhZ4ioHb9E/mqdefault.jpg;Loss of a Species ? A Giant, Extinct | Thomas Hildebrandt | TEDxTUM;727
2018-10-20;13kgrPyNTfY;0;1;0;6;2018-09-30T09:45:00.000Z;TEDxTUM,TEDx,Technology,Entertainment,Design,Consciousness,Diversity;https://i.ytimg.com/vi/13kgrPyNTfY/mqdefault.jpg;TEDxTUM 2018: Conscious Reflection;771
2018-10-20;PpiVaGPyDG4;0;0;0;2;2016-10-23T17:24:58.000Z;tedx,ted talks,inspiration,team;https://i.ytimg.com/vi/PpiVaGPyDG4/mqdefault.jpg;Meet the TEDxTUM 2016 Team!;409
2018-10-20;gPZc1fZcgL8;4;5;0;19;2015-12-09T22:29:50.000Z;TEDxTalks,English,Germany,Global Issues,Activism,Big problems,Community,Culture,Foreign policy,Global issues,Higher education,Human Rights,Identity,Immigration,International Affairs,Middle East,Politics,Refugee,Social Change,Society,War;https://i.ytimg.com/vi/gPZc1fZcgL8/mqdefault.jpg;Refugees - a homemade challenge | Melusine Reimers | TEDxTUM;1699
2018-10-20;myl722kHxbU;15;3;0;138;2015-12-26T20:36:51.000Z;TEDxTalks,English,Germany,Life,Change,Community,Culture,Empathy,Family,Human Rights,Morality,Motivation,Religion,Self,Social Change,Social Interaction,Society;https://i.ytimg.com/vi/myl722kHxbU/mqdefault.jpg;Feeling welcomed and empowered | Essraa Nawar | TEDxTUM;7852
2018-10-20;76pnQkP-xG4;1;0;0;64;2017-02-10T17:11:17.000Z;TEDxTalks,English,Germany,Technology,Big Data,Big problems,Cities,Communication,Design,Intelligence,Interface design,Internet,Policy,Politics,Public Policy,Urban Planning;https://i.ytimg.com/vi/76pnQkP-xG4/mqdefault.jpg;A vision of the responsive city of the future | Gerhard Schmitt | TEDxTUM;4576
2018-10-20;5zFOUgtiZeQ;0;0;0;3;2015-07-31T22:10:44.000Z;TEDxTUM;https://i.ytimg.com/vi/5zFOUgtiZeQ/mqdefault.jpg;TEDxTUM Whisper Challenge;336
2018-10-20;gnK7Lg56DjI;0;0;0;21;2016-01-03T06:04:47.000Z;TEDxTalks,English,Germany,Health,Activism,Big problems,Business,Change,Disability,Disease,Engineering,Entrepreneurship,Innovation,Internet,Medicine,Research,Social Entrepreneurship,Social Media,Technology;https://i.ytimg.com/vi/gnK7Lg56DjI/mqdefault.jpg;How patient innovation improves lives | Pedro Oliveira | TEDxTUM;1710
2018-10-20;Dbvp5LxY6Kw;0;0;0;2;2017-09-25T16:00:02.000Z;tedx,ted talks,ted,carl sagan,technology,design,entertainment,science,change;https://i.ytimg.com/vi/Dbvp5LxY6Kw/mqdefault.jpg;Starstuff | TEDxTUM;99
