Date;Metric;Views;Likes;Dislikes;Favourite Count;Comment Count
2019-04-13;std;90124.0;2594.0;72.0;0.0;93.0
2019-04-13;min;326.0;3.0;0.0;0.0;0.0
2019-04-13;25%;1016.0;19.0;0.0;0.0;1.0
2019-04-13;50%;2364.0;34.0;1.0;0.0;2.0
2019-04-13;75%;7542.0;90.0;4.0;0.0;4.0
2019-04-13;max;458164.0;20080.0;467.0;0.0;722.0
2019-04-14;count;67.0;67.0;67.0;67.0;67.0
2019-04-14;mean;33980.0;686.0;23.0;0.0;27.0
2019-04-14;std;93170.0;2686.0;74.0;0.0;97.0
2019-04-14;min;326.0;3.0;0.0;0.0;0.0
2019-04-14;25%;1034.0;20.0;0.0;0.0;1.0
2019-04-14;50%;2531.0;36.0;1.0;0.0;2.0
2019-04-14;75%;8156.0;100.0;4.0;0.0;4.0
2019-04-14;max;458872.0;20087.0;467.0;0.0;722.0
2019-04-15;count;68.0;68.0;68.0;68.0;68.0
2019-04-15;mean;33527.0;677.0;23.0;0.0;26.0
2019-04-15;std;92674.0;2669.0;74.0;0.0;96.0
2019-04-15;min;326.0;3.0;0.0;0.0;0.0
2019-04-15;25%;1022.0;20.0;0.0;0.0;1.0
2019-04-15;50%;2457.0;35.0;1.0;0.0;2.0
2019-04-15;75%;8112.0;98.0;4.0;0.0;4.0
2019-04-15;max;459785.0;20096.0;467.0;0.0;722.0
2019-04-16;count;67.0;67.0;67.0;67.0;67.0
2019-04-16;mean;34058.0;687.0;23.0;0.0;27.0
2019-04-16;std;93399.0;2689.0;74.0;0.0;97.0
2019-04-16;min;326.0;3.0;0.0;0.0;0.0
2019-04-16;25%;1036.0;20.0;0.0;0.0;1.0
2019-04-16;50%;2531.0;36.0;1.0;0.0;2.0
2019-04-16;75%;8169.0;100.0;4.0;0.0;4.0
2019-04-16;max;460775.0;20108.0;468.0;0.0;722.0
2019-04-17;count;68.0;68.0;68.0;68.0;68.0
2019-04-17;mean;33796.0;681.0;23.0;0.0;27.0
